x,y,collision
-7.50851,-3.35447,0
-7.53179,-3.30910,0
-7.55803,-3.26018,0
-7.58591,-3.21092,0
-7.61693,-3.15862,0
-7.64270,-3.11467,0
-7.67162,-3.06868,0
-7.69842,-3.02764,0
-7.72910,-2.98485,0
-7.75968,-2.94403,0
-7.79113,-2.90607,0
-7.82131,-2.87287,0
-7.85527,-2.83790,0
-7.89109,-2.80379,0
-7.92902,-2.77022,0
-7.96887,-2.73664,0
-8.00906,-2.70472,0
-8.05065,-2.67295,0
-8.09103,-2.64334,0
-8.13185,-2.61441,0
-8.17132,-2.58708,0
-8.21179,-2.56017,0
-8.25331,-2.53281,0
-8.29519,-2.50591,0
-8.33723,-2.47947,0
-8.38042,-2.45330,0
-8.42443,-2.42781,0
-8.46005,-2.40772,0
-8.49851,-2.38814,0
-8.53105,-2.37257,0
-8.57453,-2.35425,0
-8.61766,-2.33710,0
-8.65693,-2.32250,0
-8.69923,-2.30870,0
-8.73555,-2.29778,0
-8.77343,-2.28710,0
-8.82086,-2.27551,0
-8.86213,-2.26586,0
-8.90638,-2.25607,0
-8.95415,-2.24541,0
-9.00126,-2.23540,0
-9.04600,-2.22626,0
-9.09246,-2.21645,0
-9.13808,-2.20693,0
-9.18512,-2.19771,0
-9.23377,-2.18890,0
-9.28348,-2.18052,0
-9.33218,-2.17281,0
-9.38249,-2.16467,0
-9.42320,-2.15803,0
-9.46264,-2.15158,0
-9.50107,-2.14526,0
-9.53453,-2.13996,0
-9.57183,-2.13462,0
-9.61217,-2.12904,0
-9.64908,-2.12402,0
-9.68469,-2.11939,0
-9.72310,-2.11501,0
-9.75355,-2.11166,0
-9.79292,-2.10745,0
-9.83108,-2.10353,0
-9.86749,-2.10060,0
-9.91440,-2.09749,0
-9.95465,-2.09601,0
-9.99306,-2.09414,0
-10.03630,-2.09219,0
-10.07176,-2.09047,0
-10.10635,-2.08893,0
-10.13992,-2.08774,0
-10.18871,-2.08656,0
-10.22701,-2.08639,0
-10.26193,-2.08646,0
-10.29777,-2.08607,0
-10.33574,-2.08678,0
-10.37548,-2.08892,0
-10.41545,-2.09140,0
-10.45441,-2.09408,0
-10.48810,-2.09616,0
-10.52358,-2.09763,0
-10.56154,-2.10088,0
-10.60159,-2.10457,0
-10.63908,-2.10792,0
-10.67735,-2.11175,0
-10.71676,-2.11570,0
-10.74990,-2.11979,0
-10.78697,-2.12417,0
-10.82563,-2.12986,0
-10.86608,-2.13621,0
-10.90389,-2.14144,0
-10.94017,-2.14681,0
-10.97566,-2.15249,0
-11.01146,-2.15896,0
-11.04867,-2.16606,0
-11.08251,-2.17274,0
-11.11356,-2.17865,0
-11.14911,-2.18552,0
-11.18363,-2.19170,0
-11.21421,-2.19737,0
-11.25011,-2.20395,0
-11.28010,-2.20910,0
-11.30933,-2.21409,0
-11.33236,-2.21823,0
-11.36173,-2.22396,0
-11.39149,-2.22988,0
-11.42657,-2.23664,0
-11.46085,-2.24359,0
-11.48970,-2.24971,0
-11.51886,-2.25523,0
-11.55134,-2.26256,0
-11.58214,-2.26919,0
-11.61721,-2.27708,0
-11.64746,-2.28450,0
-11.67880,-2.29253,0
-11.71044,-2.30115,0
-11.73720,-2.30809,0
-11.75742,-2.31521,0
-11.77863,-2.32212,0
-11.79991,-2.33087,0
-11.81203,-2.33543,0
-11.82652,-2.34137,0
-11.84433,-2.35019,0
-11.86211,-2.36017,0
-11.87994,-2.36984,0
-11.89656,-2.37938,0
-11.91683,-2.39188,0
-11.94340,-2.40995,0
-11.97016,-2.42938,0
-11.99568,-2.45011,0
-12.01373,-2.46499,0
-12.02888,-2.47958,0
-12.04092,-2.49182,0
-12.04879,-2.50057,0
-12.05367,-2.50555,0
-12.06244,-2.51655,0
-12.07165,-2.52808,0
-12.07796,-2.53647,0
