x,y
-6.336884362785484,-1.621633686006806
-6.350619465061184,-1.6179039884864976
-6.36261625276102,-1.6147929491987625
-6.375242133753062,-1.6114776268056303
-6.387313230363056,-1.6089824645033426
-6.399462082736314,-1.6062440940731224
-6.412344731184057,-1.603306456643307
-6.424863930209647,-1.600540844943065
-6.437460752767388,-1.5977844401315286
-6.4495784574762745,-1.5953408215150544
-6.460918987332159,-1.5929303120403473
-6.473098388411642,-1.5905495105538014
-6.485243727472968,-1.5881214246625803
-6.498185238046059,-1.585861874477766
-6.510458953539914,-1.5839455882936477
-6.522531644206487,-1.5821260243253088
-6.5357122791427775,-1.5800796599084326
-6.547205538249922,-1.5785514432116705
-6.559226636021227,-1.577107129932253
-6.571636725911348,-1.5758253115636789
-6.583916284430336,-1.5744390766069918
-6.596659393130516,-1.573379355788517
-6.608572963512727,-1.5724527666336547
-6.620959042723199,-1.571615944209859
-6.63285575636161,-1.570765749884431
-6.644905838955018,-1.5699411265328254
-6.657002641836335,-1.5690698616159655
-6.6691519715982714,-1.5683258354220257
-6.6810803769159355,-1.5677148868280606
-6.692853471342483,-1.5672997184868536
-6.704923928789344,-1.566769032279418
-6.716487162087805,-1.5663302690356224
-6.728396138372982,-1.5659385395764094
-6.740083110243817,-1.565491724937607
-6.752434667317399,-1.565076957085335
-6.763946835457864,-1.5646381397152098
-6.775351558167537,-1.5643184276372526
-6.786788884140191,-1.5640283526216237
-6.798615301631832,-1.5637823615338657
-6.81019774783492,-1.5634444161833232
-6.821077993772082,-1.5634364016651479
-6.832314633830131,-1.5630210258469772
-6.843488118276707,-1.5629273616699975
-6.854711058840369,-1.562631151404073
-6.866259159438457,-1.562598114689098
-6.877868317393984,-1.5624904062722782
-6.888515029560267,-1.562445050295524
-6.900385277548184,-1.5623914011772728
-6.911327939040416,-1.56233632227846
-6.9229106167480055,-1.5621325229380394
-6.934320885504577,-1.5621840643761176
-6.9458586660678705,-1.5622527704960008
-6.957326572140086,-1.5624681749796805
-6.968733459071459,-1.5626029931253096
-6.980775133618986,-1.5629554312470162
-6.992447026714316,-1.5631415742398673
-7.004200605875188,-1.563331165616265
-7.015572808988795,-1.563661444928008
-7.027341675765038,-1.5641036276864022
-7.038502987764653,-1.5645918634134244
-7.050214189339871,-1.5651827624387296
-7.061394600311302,-1.5656925532276886
-7.073266507445813,-1.5661194550041204
-7.084215986116866,-1.5665107255663904
-7.095825862606845,-1.566864609129885
-7.10704114395295,-1.5676888111121055
-7.118270317022043,-1.5683600197374723
-7.129680316935696,-1.5690589700679922
-7.140767341491007,-1.569797179584918
-7.152052046846869,-1.5706247899365826
-7.163322590963161,-1.571482720918629
-7.174094922682888,-1.572346727984541
-7.184982095604466,-1.5731798508634862
-7.196875611558806,-1.5742192635962604
-7.2076562010699705,-1.5750890341480888
-7.2178393538081655,-1.5759459940668608
-7.2282207240376035,-1.576718180919892
-7.239302114845356,-1.5772404077372724
-7.250060116796998,-1.5780924970212291
-7.260176745200785,-1.5788024587286298
-7.27088539322097,-1.5796827016652295
-7.281998529555079,-1.5805900308165286
-7.292571862164021,-1.5815280542958738
-7.303014987353367,-1.5823885918492127
-7.313346677126881,-1.583295320740723
-7.3243385439576025,-1.5842701304410476
-7.335005195376315,-1.585641683560927
-7.346633191544083,-1.5869480559854034
-7.358198562646216,-1.5885213518824834
-7.370112680213485,-1.5901655078271848
-7.38104897689698,-1.5918113451851337
-7.391680256309175,-1.593365790893095
-7.4034561901018145,-1.5949988804634538
-7.414909901272636,-1.5967540032258947
-7.426092428941709,-1.598514989086152
-7.437928045343957,-1.6005040274025017
-7.449552961108805,-1.6025981125441915
-7.461019940032133,-1.6046748669843696
-7.472307866857365,-1.6069158280437519
-7.483407213490086,-1.6090516485767117
-7.494022583676402,-1.610978708549222
-7.504973071650492,-1.6131214439991175
-7.517055732889416,-1.615170511610597
